#	Name1	Mass1	Boson1	E1	px1	py1	pz1	pT1	Name2	Mass2	Boson2	E2	px2	py2	pz2	pT2
	b	4.18	0	44.7116	28.06	31.509	-14.194	42.1922	b	4.18	0	99.6036	32.94	49.491	-79.806	59.4508
	b	4.18	0	44.4325	-44.235	-0.07	-0.192	44.2351	b	4.18	0	64.1391	-0.765	-4.93	-63.808	4.989
	b	4.18	0	35.8609	31.64	-16.353	-0.148	35.6161	b	4.18	0	97.294	8.36	-62.647	-73.852	63.2023
	Z	91.19	1	117.111	72.713	-10.508	-1.312	73.4684	Z	91.19	1	116.421	16.287	-63.492	-30.688	65.5477
	tau+	1.77	0	54.6198	51.45	0.368	-18.247	51.4513	tau-	1.77	0	72.1969	18.55	45.632	-52.753	49.2583
	Z	91.19	1	94.846	12.312	-22.828	-2.73	25.9365	Z	91.19	1	99.6185	14.688	-29.172	-23.27	32.661
	b	4.18	0	44.486	-44.28	0.06	0.902	44.28	b	4.18	0	82.0819	-0.72	11.94	81.098	11.9617
	b	4.18	0	17.6609	1.065	16.375	5.016	16.4096	b	4.18	0	34.573	3.935	8.625	32.984	9.48024
	W+	80.39	1	88.4921	1.47	-36.946	1.064	36.9752	W-	80.39	1	101.196	1.53	-61.054	6.936	61.0732
	b	4.18	0	30.647	18.396	-1.936	24.075	18.4976	b	4.18	0	100.549	9.604	-86.064	50.925	86.5982
	b	4.18	0	80.8163	-80.556	4.932	0.451	80.7068	b	4.18	0	37.3934	-17.444	31.068	10.549	35.6302
	Z	91.19	1	92.6225	13.952	-2.272	7.968	14.1358	Z	91.19	1	136.65	2.048	-68.728	75.032	68.7585
	b	4.18	0	33.5923	30.887	12.243	-2.66	33.225	b	4.18	0	74.3904	36.113	64.757	-4.34	74.1459
	b	4.18	0	25.8706	7.569	24	4.304	25.1652	b	4.18	0	89.109	79.431	40	3.696	88.9342
	b	4.18	0	21.6153	-19.044	9.045	2.294	21.0828	b	4.18	0	83.4069	-3.956	57.955	59.706	58.0899
	b	4.18	0	71.5261	0.18	71.214	-5.2	71.2142	b	4.18	0	39.8379	14.82	11.786	-34.8	18.9352
	b	4.18	0	23.6311	8.188	21.7	-1.739	23.1934	b	4.18	0	52.2518	37.812	6.3	-35.261	38.3332
	b	4.18	0	9.77438	-2.406	8.46	-0.84	8.79548	b	4.18	0	90.9317	-0.594	36.54	-83.16	36.5448
	b	4.18	0	51.6538	-51.48	0.36	0.564	51.4813	b	4.18	0	129.551	-0.52	89.64	93.436	89.6415
	b	4.18	0	30.0348	-28.224	-6.798	6.466	29.0311	b	4.18	0	55.3101	-13.776	-26.202	46.534	29.6028
	b	4.18	0	35.4163	24.904	5.368	24.245	25.476	b	4.18	0	94.1868	19.096	82.632	40.755	84.8098
	b	4.18	0	69.5596	67.14	-2.196	-17.563	67.1759	b	4.18	0	84.1175	22.86	-33.804	-73.437	40.808
	W+	80.39	1	80.9839	-5.904	7.22	-2.976	9.32661	W-	80.39	1	119.758	-2.096	87.78	-13.024	87.805
	Z	91.19	1	97.3927	33.033	1.178	-8.784	33.054	Z	91.19	1	117.061	5.967	36.822	-63.216	37.3023
	tau+	1.77	0	25.865	-24.07	0.1	-9.3	24.0702	tau-	1.77	0	53.1859	-4.93	4.9	-52.7	6.95089
	W+	80.39	1	90.723	-30.783	21.075	-19.4	37.3061	W-	80.39	1	119.07	-62.217	53.925	-30.6	82.3338
	W+	80.39	1	81.1348	0.727	2.508	-10.653	2.61124	W-	80.39	1	100.088	0.273	19.492	-56.347	19.4939
	Z	91.19	1	100.441	-24.531	34.2	1.188	42.0881	Z	91.19	1	105.41	-26.469	37.8	25.812	46.1459
	b	4.18	0	22.3571	19.711	9.648	-0.873	21.9456	b	4.18	0	114.702	3.289	62.352	-96.127	62.4387
	b	4.18	0	17.6421	15.532	4.292	-5.84	16.1141	b	4.18	0	42.8567	6.468	24.708	-34.16	25.5406
	b	4.18	0	20.632	17.775	9.555	-0.98	20.1804	b	4.18	0	66.7937	57.225	3.445	-34.02	57.3286
	b	4.18	0	35.4986	34.592	-0.14	-6.786	34.5923	b	4.18	0	27.1716	11.408	-9.86	-22.214	15.0785
	b	4.18	0	14.094	4.818	-6.039	11.022	7.72545	b	4.18	0	93.904	6.182	-92.961	10.978	93.1663
	b	4.18	0	31.4844	-29.925	6.222	6.291	30.565	b	4.18	0	60.6153	-15.075	54.778	20.709	56.8145
	b	4.18	0	75.2599	-74.124	12.32	-0.656	75.1409	b	4.18	0	111.927	-12.876	75.68	-81.344	76.7675
	b	4.18	0	17.8014	12.88	-6.278	9.701	14.3286	b	4.18	0	103.766	3.12	-66.722	79.299	66.7949
	b	4.18	0	15.8251	-2.358	10.812	10.512	11.0661	b	4.18	0	43.6731	-15.642	40.188	5.488	43.1248
	b	4.18	0	63.4686	-8.14	61.37	-13.351	61.9075	b	4.18	0	82.123	-35.86	33.63	-65.649	49.1621
	b	4.18	0	51.2327	-2.184	42.966	27.504	43.0215	b	4.18	0	68.1204	-11.816	50.034	44.496	51.4103
	b	4.18	0	48.4114	0.294	4.998	47.97	5.00664	b	4.18	0	34.3256	1.706	16.002	30.03	16.0927
	W+	80.39	1	87.3139	18.816	-22.755	-17.01	29.5268	W-	80.39	1	133.979	77.184	-14.245	-72.99	78.4875
	b	4.18	0	42.7431	33.768	-24.978	6.732	42.0021	b	4.18	0	79.5149	29.232	-44.022	59.268	52.8436
	b	4.18	0	43.2257	-23.275	19.228	30.652	30.1901	b	4.18	0	101.868	-25.725	72.772	66.348	77.1851
	b	4.18	0	21.0489	-18.07	5.343	8.397	18.8434	b	4.18	0	51.2308	-46.93	7.657	18.603	47.5505
	b	4.18	0	32.8361	30.25	11.913	1.938	32.5113	b	4.18	0	62.3219	19.75	21.087	55.062	28.8916
	b	4.18	0	30.9143	-11.058	28.35	3.496	30.4303	b	4.18	0	40.5172	-26.942	25.65	15.504	37.1994
	W+	80.39	1	85.284	-3.094	-28.305	-0.266	28.4736	W-	80.39	1	82.7189	-9.906	-16.695	-1.734	19.4127
	b	4.18	0	28.5428	-13.816	-3.78	24.332	14.3238	b	4.18	0	62.8953	-30.184	-6.22	54.668	30.8182
	b	4.18	0	75.1135	74.994	0.208	0.646	74.9943	b	4.18	0	22.3986	12.006	1.792	18.354	12.139
	b	4.18	0	33.6548	-20.424	-26.048	-4.42	33.1004	b	4.18	0	68.3221	-25.576	-61.952	-12.58	67.0237
	b	4.18	0	21.5563	-17.523	2.07	11.656	17.6448	b	4.18	0	83.9821	-15.477	3.93	82.344	15.9682
