tau	1.7768	0	80.4217	18.9	2.685	-78.103	19.0898	tau	1.7768	0	23.6822	23.1	0.315	-4.897	23.1021
b	4.18	0	56.0009	-41.785	-14.19	34.224	44.1287	b	4.18	0	61.9877	-19.215	-51.81	27.776	55.2584
b	4.18	0	4.57897	-0.784	0.975	1.389	1.25111	b	4.18	0	80.2748	-48.216	64.025	1.611	80.1498
b	4.18	0	62.7561	60.03	-0.582	17.802	60.0328	b	4.18	0	31.1777	29.97	-5.418	5.198	30.4558
b	4.18	0	27.0082	-1.612	0	-26.634	1.612	b	4.18	0	19.9554	-2.388	0	-19.366	2.388
tau	1.7768	0	86.7588	-85.975	11.43	-1.26	86.7315	tau	1.7768	0	29.031	-9.025	6.57	-26.74	11.1631
b	4.18	0	87.1527	51.03	-63.994	29.645	81.8492	b	4.18	0	55.3819	38.97	-34.006	19.355	51.7211
b	4.18	0	108.126	75.945	-71.6	-27.92	104.375	b	4.18	0	53.3866	7.055	-8.4	-52.08	10.9696
b	4.18	0	49.7626	36.408	32.12	-10.08	48.5514	b	4.18	0	49.3052	45.592	11.88	-13.92	47.1144
b	4.18	0	12.7908	2.277	11.872	0.052	12.0884	b	4.18	0	117.315	96.723	41.128	51.948	105.104
b	4.18	0	68.9148	11.564	-30.883	60.368	32.977	b	4.18	0	71.2837	16.436	-58.117	37.632	60.3964
b	4.18	0	70.8058	11.936	51.636	-46.768	52.9976	b	4.18	0	38.1978	20.064	0.364	-32.232	20.0673
tau	1.7768	0	28.0348	-2.784	-5.016	27.384	5.7368	tau	1.7768	0	18.7215	-9.216	-6.984	14.616	11.5633
b	4.18	0	50.6276	-43.56	0	-25.46	43.56	b	4.18	0	58.1429	-28.44	0	-50.54	28.44
b	4.18	0	41.3946	-40.608	4.558	-5.124	40.863	b	4.18	0	58.2824	-31.392	48.442	-6.876	57.7242
b	4.18	0	63.4447	10.764	52.976	-32.946	54.0585	b	4.18	0	78.7866	67.236	33.024	-24.054	74.9084
W	80.39	1	85.3122	9.339	6.832	26.11	11.5712	W	80.39	1	106.423	1.661	54.168	43.89	54.1935
b	4.18	0	39.8909	-25.594	-2.772	30.184	25.7437	b	4.18	0	64.4636	-41.406	-15.228	46.816	44.1174
b	4.18	0	35.5634	24.621	23.04	-10.5	33.72	b	4.18	0	63.6184	62.379	6.96	-9.5	62.7661
W	80.39	1	138.847	-99.3	-32.364	43.68	104.441	W	80.39	1	101.04	-0.7	-60.636	8.32	60.64
b	4.18	0	20.5639	8.618	15.056	10.22	17.348	b	4.18	0	63.9763	22.382	0.944	59.78	22.4019
b	4.18	0	24.8202	-6.048	-23.655	1.56	24.4159	b	4.18	0	75.3072	-14.952	-71.345	18.44	72.8949
W	80.39	1	122.016	-20.58	-87.591	-18.154	89.9762	W	80.39	1	82.2037	-9.42	-9.409	-10.846	13.3141
b	4.18	0	35.7074	4.83	-35.035	2.601	35.3664	b	4.18	0	66.2002	16.17	-41.965	48.399	44.9725
b	4.18	0	53.7065	-36.344	0.77	-39.312	36.3522	b	4.18	0	69.9269	-40.656	54.23	-16.688	67.7776
b	4.18	0	44.4768	0.13	5.04	-43.992	5.04168	b	4.18	0	9.43075	1.87	1.96	-8.008	2.70897
b	4.18	0	33.7415	3.625	27.72	18.425	27.956	b	4.18	0	43.0139	1.375	42.28	6.575	42.3024
W	80.39	1	115.408	-59.986	-42.434	38.178	73.4776	W	80.39	1	89.239	-29.014	-6.566	24.822	29.7477
b	4.18	0	18.3749	2.385	5.588	-16.83	6.07569	b	4.18	0	75.1499	2.615	16.412	-73.17	16.619
b	4.18	0	75.4208	45.472	-59.04	-10.835	74.5213	b	4.18	0	21.6626	3.528	-20.96	-0.165	21.2548
W	80.39	1	123.282	35.1	-68.04	-53.613	76.5601	W	80.39	1	85.3204	9.9	-21.96	-15.387	24.0884
b	4.18	0	24.1641	-21.294	0.92	10.59	21.3139	b	4.18	0	21.7978	-20.706	3.08	4.41	20.9338
W	80.39	1	93.1757	34.358	-2.025	-32.165	34.4176	W	80.39	1	93.4949	47.642	-0.975	-2.835	47.652
W	80.39	1	85.601	-3.604	28.884	4.207	29.108	W	80.39	1	80.4396	-0.396	0.116	2.793	0.41264
b	4.18	0	67.4945	-63.687	-1.708	21.888	63.7099	b	4.18	0	21.9463	-7.313	-12.292	16.112	14.3029
b	4.18	0	70.186	-52.185	-4.862	46.494	52.411	b	4.18	0	26.8613	-18.815	-17.138	7.506	25.4503
b	4.18	0	54.8424	51.512	-11.368	14.405	52.7515	b	4.18	0	77.4926	42.488	-37.632	52.595	56.7574
